# started_at=2025-12-14T19:04:54+03:00
# cmd: sar -q 1
# app_pid=7559

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

07:04:55 PM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
07:12:22 PM         4      1145      2.79      2.23      1.19         0
07:12:23 PM         2      1149      2.79      2.23      1.19         0
07:12:24 PM         8      1144      2.79      2.23      1.19         1
07:12:25 PM         2      1143      2.56      2.19      1.18         0
07:12:26 PM        11      1157      2.56      2.19      1.18         1
07:12:27 PM         2      1163      2.56      2.19      1.18         0
07:12:28 PM         1      1164      2.56      2.19      1.18         0
07:12:29 PM         1      1146      2.56      2.19      1.18         0
07:12:30 PM        10      1147      2.44      2.17      1.18         0
07:12:31 PM         2      1148      2.44      2.17      1.18         0
07:12:32 PM         0      1147      2.44      2.17      1.18         0
07:12:33 PM         1      1148      2.44      2.17      1.18         0
07:12:34 PM         3      1147      2.44      2.17      1.18         0
07:12:35 PM         4      1146      2.40      2.17      1.19         0
07:12:36 PM         1      1145      2.40      2.17      1.19         0
07:12:37 PM         4      1146      2.40      2.17      1.19         1
07:12:38 PM         2      1147      2.40      2.17      1.19         0
07:12:39 PM         2      1145      2.40      2.17      1.19         0
07:12:40 PM         2      1150      2.29      2.15      1.18         0
07:12:41 PM         2      1146      2.29      2.15      1.18         0
07:12:42 PM         3      1147      2.29      2.15      1.18         0
07:12:43 PM         4      1145      2.29      2.15      1.18         0
07:12:44 PM         2      1146      2.29      2.15      1.18         0
