# started_at=2025-12-14T01:53:18+03:00
# cmd: pidstat -w -t -p 1101786 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM   UID      TGID       TID   cswch/s nvcswch/s  Command
01:54:12 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:54:12 AM 174209043         -   1101792     28.00      2.00  |__app_linux_amd64
01:54:13 AM 174209043   1101786         -      9.00      5.00  app_linux_amd64
01:54:13 AM 174209043         -   1101786      9.00      5.00  |__app_linux_amd64
01:54:13 AM 174209043         -   1101788     87.00      0.00  |__app_linux_amd64
01:54:13 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:54:13 AM 174209043         -   1101791     20.00      1.00  |__app_linux_amd64
01:54:13 AM 174209043         -   1101792     24.00      2.00  |__app_linux_amd64
01:54:14 AM 174209043   1101786         -      0.00      0.00  app_linux_amd64
01:54:14 AM 174209043         -   1101786      0.00      0.00  |__app_linux_amd64
01:54:14 AM 174209043         -   1101788     23.00      0.00  |__app_linux_amd64
01:54:14 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:54:14 AM 174209043         -   1101791     22.00      0.00  |__app_linux_amd64
01:54:14 AM 174209043         -   1101792     27.00      2.00  |__app_linux_amd64
01:54:15 AM 174209043   1101786         -      3.00      0.00  app_linux_amd64
01:54:15 AM 174209043         -   1101786      3.00      0.00  |__app_linux_amd64
01:54:15 AM 174209043         -   1101788     48.00      0.00  |__app_linux_amd64
01:54:15 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:54:15 AM 174209043         -   1101791     18.00      2.00  |__app_linux_amd64
01:54:15 AM 174209043         -   1101792     27.00      1.00  |__app_linux_amd64
01:54:16 AM 174209043   1101786         -     19.00      0.00  app_linux_amd64
01:54:16 AM 174209043         -   1101786     19.00      0.00  |__app_linux_amd64
01:54:16 AM 174209043         -   1101788    133.00      0.00  |__app_linux_amd64
01:54:16 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:54:16 AM 174209043         -   1101791      8.00      0.00  |__app_linux_amd64
01:54:16 AM 174209043         -   1101792     28.00      1.00  |__app_linux_amd64
01:54:17 AM 174209043   1101786         -     18.00      0.00  app_linux_amd64
